perl-libwww 6.83-1
perl-lwp-mediatypes 6.05-1
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.37-1
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.7-1
plasma-activities 6.7.5-1
plymouth 26.134.222-2
pnpm 11.26.0-1
polkit 127-3
polkit-gnome 0.105-12
polkit-qt5 0.201.1-1
poppler 26.08.0-1
poppler-glib 26.08.0-1
poppler-qt6 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
power-profiles-daemon 0.30-1
procps-ng 4.0.7-1
protobuf 36.1-1
protobuf-c 1.5.2-15
psmisc 23.7-2
pugixml 1.16-1
pwvucontrol 0.5.3-2
pwvucontrol-debug 0.5.3-2
pybind11 3.1.0-1
python 3.14.7-1
python-annotated-types 0.8.0-1
python-argcomplete 3.7.2-1
python-autocommand 2.2.2-9
python-brltty 6.9.1-3
python-build 1.6.0-1
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.5.1-1
python-click 8.3.3-1
python-colorama 0.4.6-6
python-configargparse 1.7.7-1
python-cryptography 50.0.1-1
python-dasbus 1.7-5
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-distlib 0.4.3-1
python-distro 1.9.0-4
python-distutils-extra 2.39-15
python-editables 0.6-1
python-filelock 3.31.2-1
python-gbinder 1.3.1-1
python-gobject 3.56.3-1
python-gpsoauth 2.0.0-2
python-h11 0.16.0-2
python-hatch 1.17.0-1
python-hatch-vcs 0.5.0-4
python-hatchling 1.30.1-1
python-httpcore2 2.3.0-1
python-httpx2 2.3.0-1
python-hyperlink 21.0.0-8
python-hyprland-config 0.9.14-1
